study_hours,attendance,previous_marks,assignment_score,sleep_hours,pass
4.33,75.14,86.46,40.61,8.98,0
1.14,61.61,81.86,62.89,8.42,0
9.35,94.98,74.44,66.47,7.09,1
4.85,69.19,47.22,41.06,5.25,0
9.7,77.18,41.79,54.29,8.33,0
9.67,95.32,90.65,81.82,7.4,1
8.68,81.21,73.92,47.54,5.46,0
3.65,55.84,83.81,69.44,5.38,0
4.47,96.99,66.48,51.84,8.64,1
8.66,81.39,46.45,40.67,7.68,0
3.85,66.75,46.89,53.27,8.32,0
2.53,56.96,77.71,93.67,8.52,1
6.01,89.7,63.67,84.08,7.29,1
9.43,81.0,51.03,92.78,7.07,1
7.26,76.67,67.04,66.83,6.72,1
6.13,94.69,43.53,46.04,6.27,0
1.87,89.43,72.01,70.14,6.74,1
6.54,57.58,54.79,64.99,8.1,0
9.91,65.59,83.87,86.44,7.41,1
2.26,62.42,57.07,45.39,8.57,0
5.66,87.2,65.04,66.85,6.77,1
8.9,51.68,40.64,48.25,7.43,0
7.67,78.49,43.98,57.86,7.53,0
7.27,88.12,61.59,80.55,7.37,1
7.32,93.84,66.4,66.18,7.81,1
4.24,67.1,73.0,60.67,5.95,0
3.64,91.06,56.04,61.7,7.05,1
8.28,55.53,78.22,65.27,5.42,0
8.29,92.32,87.31,83.18,6.54,1
8.8,56.37,82.89,89.06,6.95,1
9.22,69.86,42.18,92.54,7.61,0
5.6,89.86,66.43,83.28,8.8,1
5.51,57.5,45.77,57.35,7.4,0
8.18,61.46,53.31,77.85,7.97,0
6.85,86.11,94.27,64.07,7.03,1
7.32,86.0,47.84,54.01,7.54,0
8.16,82.06,67.44,86.25,5.28,1
9.01,84.7,74.0,42.11,6.02,0
4.04,77.14,78.64,89.6,6.45,1
4.38,62.59,70.78,65.38,6.89,0
1.85,67.28,40.54,75.05,5.18,0
6.2,59.08,57.96,76.26,5.56,0
1.32,95.42,68.47,89.23,6.11,1
5.19,79.17,44.83,75.02,8.89,0
5.88,70.04,59.28,73.77,6.33,0
3.58,73.1,41.83,43.67,6.93,0
6.32,97.36,44.32,68.51,5.78,1
1.27,57.67,61.83,48.26,7.44,0
1.34,79.31,47.3,80.56,6.12,0
8.4,75.29,71.21,68.17,5.83,1
4.24,80.57,77.92,77.41,7.07,1
2.14,50.91,84.03,42.29,5.02,0
5.7,93.61,51.01,44.66,5.03,0
7.93,96.61,49.21,79.4,5.88,1
2.94,78.26,45.75,43.96,5.15,0
6.61,84.83,75.0,43.92,5.43,0
1.77,96.12,78.86,40.67,6.36,1
1.47,85.36,41.74,92.61,8.21,1
5.78,57.63,91.49,80.56,7.29,1
5.87,78.81,42.86,59.43,7.05,0
6.74,80.34,69.77,56.31,6.17,0
7.53,71.21,79.0,59.23,8.73,1
9.78,86.82,87.9,82.61,6.59,1
5.65,96.72,79.27,76.38,5.35,1
3.91,96.28,84.1,50.19,7.47,1
8.16,72.54,58.67,49.58,5.46,0
3.44,55.66,84.82,45.41,6.38,0
4.95,99.24,44.41,76.32,7.03,1
1.71,91.94,89.21,82.04,8.5,1
1.23,56.23,70.12,54.58,6.97,0
9.66,96.04,84.95,41.15,7.81,1
8.52,93.49,64.88,44.52,8.97,1
7.26,75.94,75.4,93.23,5.53,1
4.68,79.56,68.95,56.25,6.1,0
2.56,69.95,80.24,82.31,6.58,1
2.41,52.74,44.49,74.36,6.69,0
3.25,66.76,43.32,61.01,6.64,0
5.94,90.14,53.59,51.31,8.63,0
7.43,50.23,48.77,46.68,7.86,0
6.94,66.67,87.95,73.83,7.43,1
3.52,69.91,52.06,82.6,6.24,0
9.59,76.87,93.67,75.41,8.3,1
7.64,95.99,58.53,69.17,8.82,1
5.99,67.32,50.02,42.31,8.28,0
6.51,67.35,83.43,93.27,5.01,1
4.78,86.88,76.23,83.93,7.55,1
3.23,72.61,67.4,56.11,5.2,0
4.2,61.23,70.54,93.9,6.03,1
7.82,72.62,79.56,73.1,5.24,1
1.13,57.04,52.57,72.03,7.42,0
2.04,58.82,94.8,81.14,7.75,1
1.41,74.92,93.61,84.65,5.46,1
1.37,70.95,75.77,76.11,6.54,1
8.7,95.74,50.97,47.05,6.82,0
7.33,68.12,77.41,58.6,6.48,0
5.27,79.03,43.97,91.04,5.48,1
1.88,81.61,41.69,52.35,6.68,0
5.42,50.65,54.17,60.47,8.0,0
5.26,83.18,65.44,63.76,5.28,1
2.56,58.9,87.75,64.17,5.32,0
4.9,98.05,79.99,73.71,6.42,1
4.59,57.43,80.85,91.87,8.77,1
6.54,70.73,63.4,53.24,7.67,0
6.72,54.27,59.03,46.68,7.71,0
1.41,99.84,60.41,50.86,6.45,1
4.37,75.11,94.32,88.78,7.37,1
6.63,79.77,42.21,75.52,5.04,0
5.53,53.35,87.69,55.72,7.54,0
8.71,87.5,71.83,84.88,8.65,1
6.93,60.5,64.12,87.38,7.45,1
2.47,94.9,79.89,86.56,8.49,1
1.64,60.26,66.77,90.54,7.9,0
6.78,59.53,88.04,53.87,5.48,0
1.24,51.83,89.54,81.53,8.61,1
6.27,73.6,63.19,65.33,5.27,0
9.46,78.24,55.23,86.31,7.14,1
6.18,53.29,72.58,80.07,5.57,0
4.49,88.78,90.18,82.7,5.05,1
6.79,72.66,51.59,76.09,6.69,0
5.12,76.22,74.26,49.76,6.18,0
5.91,72.04,74.74,69.98,6.94,1
9.47,70.04,80.32,94.16,7.31,1
4.47,77.98,47.24,91.56,5.17,1
9.65,57.76,79.37,42.37,5.49,0
9.15,59.1,90.0,49.06,7.23,0
2.76,93.09,49.88,47.25,6.37,0
1.62,97.31,53.06,79.93,7.92,1
1.91,68.67,93.43,84.98,7.61,1
1.16,63.54,49.95,51.74,8.38,0
1.85,82.2,86.99,67.82,7.77,1
7.15,70.44,67.08,86.24,6.72,1
1.64,51.27,53.6,80.3,7.69,0
3.87,57.81,87.89,69.82,6.1,0
8.6,85.8,64.49,72.47,6.23,1
1.21,82.95,68.31,67.96,8.16,1
8.33,51.35,59.76,56.37,6.79,0
3.54,61.1,72.61,71.08,8.19,0
2.06,61.55,48.99,77.89,8.29,0
7.27,83.59,61.51,88.03,8.43,1
6.66,50.99,93.32,75.0,8.67,1
8.9,55.21,54.2,81.86,6.72,0
7.62,90.0,76.12,48.8,6.28,1
8.23,58.93,57.89,65.39,7.33,0
3.54,82.64,82.54,40.51,6.48,0
2.6,61.91,47.2,53.57,7.4,0
7.76,54.97,93.34,79.96,7.82,1
8.26,62.16,64.96,94.55,7.75,1
9.91,86.11,52.98,45.45,6.5,0
4.71,92.78,44.04,62.08,5.67,0
4.35,91.51,49.34,84.0,6.72,1
7.99,69.86,68.59,51.22,5.57,0
4.07,83.4,58.54,70.53,8.56,1
9.38,60.25,85.59,80.32,6.38,1
8.73,64.66,63.7,73.88,5.62,0
4.86,94.82,53.68,50.34,5.1,0
7.76,50.65,73.94,59.55,7.58,0
7.79,54.28,78.87,83.11,7.55,1
1.93,60.39,49.19,70.48,6.36,0
9.12,51.33,49.22,40.29,5.29,0
5.55,59.07,42.02,81.85,6.64,0
8.44,79.15,80.5,41.94,6.24,0
3.88,71.07,76.51,81.02,7.71,1
9.06,94.63,66.1,51.14,7.42,1
4.5,90.87,86.43,92.69,6.46,1
1.1,67.09,84.31,60.24,5.87,0
9.15,62.97,72.19,57.98,8.95,0
1.82,68.98,87.75,48.19,6.82,0
3.87,79.51,51.32,56.81,7.75,0
9.55,63.4,46.16,88.22,5.56,0
9.56,81.21,54.84,94.8,6.94,1
6.16,70.47,43.14,60.26,5.11,0
6.69,77.6,69.21,64.67,7.02,1
5.04,71.81,91.51,79.71,8.86,1
3.64,64.72,42.16,88.74,6.54,0
3.96,97.42,46.72,72.62,5.16,1
7.05,88.18,64.87,61.53,5.12,1
7.77,57.01,91.36,62.69,6.55,0
8.12,93.42,57.39,78.26,5.64,1
8.11,74.37,67.9,40.18,5.09,0
1.82,94.73,42.29,74.08,8.02,1
5.45,89.99,48.16,59.55,6.83,0
1.52,71.26,94.26,83.68,6.16,1
5.95,51.12,93.08,45.11,8.6,0
4.97,63.43,40.27,72.35,5.46,0
8.99,77.08,92.35,66.45,8.82,1
4.16,81.67,75.15,75.33,6.26,1
2.05,62.89,87.74,43.57,8.55,0
2.29,56.97,65.01,71.9,7.41,0
7.85,91.75,68.36,70.88,8.31,1
6.56,99.22,66.89,70.84,8.94,1
1.91,76.28,76.68,73.19,6.15,1
1.76,58.58,47.68,77.21,8.84,0
7.31,63.62,41.65,84.27,6.56,0
1.65,50.92,56.94,54.84,6.54,0
8.4,95.71,78.76,85.38,6.36,1
7.36,55.89,51.1,67.4,7.17,0
1.73,78.83,77.04,44.24,5.62,0
1.76,63.7,93.35,43.22,7.21,0
9.88,77.71,45.16,58.38,7.17,0
4.37,82.57,76.99,83.17,8.05,1
4.34,91.49,64.41,78.92,8.33,1
8.32,60.32,87.75,83.37,6.76,1
9.53,50.55,49.74,68.45,6.21,0
9.87,56.84,78.09,64.21,6.04,0
7.78,95.0,86.1,48.11,5.78,1
4.39,93.69,91.95,58.05,5.23,1
1.75,79.87,77.58,63.87,6.37,1
7.99,80.03,67.34,44.87,6.08,0
6.03,83.25,73.98,52.13,8.87,1
4.82,58.77,87.79,72.9,7.23,1
9.16,95.72,71.38,80.46,6.39,1
2.0,70.94,41.67,94.91,7.32,0
5.43,69.16,91.2,91.32,5.56,1
1.1,75.95,77.92,75.34,6.78,1
5.22,52.35,77.21,63.17,7.5,0
1.51,58.31,51.86,74.99,6.96,0
2.07,86.9,76.24,83.21,6.61,1
2.06,54.14,61.66,46.51,8.98,0
6.84,80.16,75.82,62.54,8.52,1
7.71,62.27,45.86,86.19,7.49,0
6.25,69.46,76.18,61.11,7.28,0
9.66,64.43,94.97,71.45,7.48,1
4.37,67.78,42.65,72.33,5.81,0
3.57,85.95,93.74,50.15,6.58,1
8.82,64.86,62.38,59.92,5.16,0
3.01,78.32,87.89,58.4,6.9,1
9.67,73.8,83.03,41.44,7.17,0
1.11,83.18,71.19,41.33,5.91,0
9.73,96.84,80.61,85.74,8.86,1
1.39,86.63,88.32,55.02,8.64,1
9.02,60.75,62.23,68.49,7.89,0
5.75,51.56,57.99,56.43,7.13,0
9.94,63.11,76.72,91.74,8.48,1
1.66,79.75,84.43,54.26,5.52,1
5.98,52.57,81.93,63.63,8.16,0
9.72,74.82,83.88,88.0,5.5,1
5.71,79.84,63.96,86.31,8.18,1
6.66,66.71,84.98,50.24,6.1,0
7.26,88.55,46.61,84.15,8.51,1
5.09,55.33,69.95,65.2,8.78,0
6.65,53.76,40.32,66.56,5.6,0
6.26,86.41,57.85,47.34,6.85,0
9.11,74.77,60.16,44.43,8.92,0
1.41,84.42,61.79,80.04,6.93,1
3.53,71.74,78.25,67.31,8.45,1
9.55,62.32,61.37,64.03,7.35,0
9.01,90.96,64.68,80.12,6.5,1
5.1,89.97,53.06,82.1,6.14,1
6.58,84.73,60.53,48.74,5.81,0
3.5,63.61,52.5,73.56,8.05,0
2.69,79.51,44.03,47.44,6.55,0
5.17,68.05,73.19,81.33,7.05,1
4.18,54.58,76.75,76.13,6.97,0
6.25,95.87,74.07,92.61,7.31,1
1.7,56.84,65.49,43.79,8.46,0
9.77,97.51,60.89,43.14,8.92,1
9.88,72.3,87.48,55.52,6.63,1
